PlayerID,FirstName,LastName,TeamID,Team,Jersey,Position,Class,Height,Weight
60000075,Jalen,Reynolds,305,SOUTH,12,F,Junior,78,245
60000225,T.J.,Distefano,442,SCHREI,33,G,Freshman,74,150
60000234,Elijah,Thomas,,,14,F,Senior,81,245
60000281,Grant,Weatherford,,,23,G,Senior,74,0
60000304,Tyree,Chambers,427,LEMYN,14,G,Sophomore,74,182
60000376,Zach,Brown,1033,NG,1,F,Sophomore,78,190
60000405,Traci,Carter,,,25,G,Senior,73,0
60000528,Christian,Wilson,,,53,G,Senior,73,0
60000540,Julian,Torres,622,TXWESL,34,F-C,Junior,81,255
60000617,Junior,Searcy,505,STLEO,15,G,Freshman,76,190
60000638,Jaylin,Stewart,,,0,F,Freshman,79,210
60000698,Kyle,Daugherty,426,MRCD,21,G,Sophomore,76,180
60000700,James,Griffin,403,HHILO,10,G,Sophomore,77,200
60000727,Tyler,Burns,,,14,G,Sophomore,70,155
60000813,Jordan,Price,,,21,G,Senior,77,220
60000822,Ibrahima,Diallo,222,SJST,5,C,Junior,84,220
60000917,Deitrich,Cole,605,ROCHMI,4,F,Sophomore,81,210
60000940,Conrad,Stephens,628,UTXT,23,G,Junior,74,180
60001138,Peter,Agba,605,ROCHMI,42,F,Freshman,78,210
60001359,Jake,Connor,633,WSTMUT,10,G,Senior,75,181
60001733,Branden,Sheppard,404,WILCAR,15,F,Redshirt Freshman,80,222
60001745,Josiah,Moore,404,WILCAR,12,G,Sophomore,74,209
60001761,Samson,Oyediran,483,STFR,13,F,Senior,79,208
60001821,Nathan,Messer,443,TRUST,24,G,Freshman,76,198
60001847,Kyle,Ferreira,418,CLU,2,G,Sophomore,75,190
60002209,TySean,Powell,634,CUMBER,15,F,Senior,80,215
60002266,John,Eck,606,MARS,4,G,Senior,76,170
60002528,Camron,Justice,,,55,G,Senior,75,0
60002565,Asa,Cantwell,429,CSSM,3,G,Sophomore,75,180
60002589,Cheikh,N'Diaye,229,LIUB,21,F,Senior,80,250
60002699,Tyler,Moffe,,,13,G,Senior,73,0
60002731,Doudou,Gueye,,,23,F,Senior,81,0
60002744,Avery,Brown,461,MILE,5,G,Junior,74,180
60002753,Kenneth,Lowe,,,45,F,Senior,80,230
60002823,Donovan,Ham,768,MISSCO,4,G,Freshman,74,200
60002853,Tyler,Brimhall,635,UAA,24,G,Sophomore,76,195
60002912,Jordan,Watkins,,,2,G,Senior,73,165
60003014,Andrew,Dotson,470,SPHIL,2,G,Freshman,74,175
60003181,Jerick,Haynes,620,LEESMC,35,G,Freshman,73,170
60003380,Kadavion,Evans,1036,SHRE,5,G,Junior,71,160
60003409,Andre,Adams,391,NMH,13,F,Senior,81,230
60003871,Jalen,Coleman-Lands,,,55,G,Senior,76,0
60004054,Connor,Kern,292,TAMU,42,C,Sophomore,87,280
60004490,Courtney,Julien,410,HTILLO,1,G,Senior,77,185
60004563,Mehran,Nazarian,412,BETH,14,G,Sophomore,75,185
60004641,Khalil,Fuller,429,CSSM,22,F,Junior,80,270
60004796,Devonte,Fuller,461,MILE,32,G,Senior,73,185
60004845,K.J.,Walton,,,1,G,Senior,75,205
60005013,Connor,Cashaw,,,1,G,Senior,73,0
60005148,Frederick,Scott,,,13,F,Senior,80,0
60005307,Sammy,Barnes-Thompkins,391,NMH,55,G,Senior,75,185
60005371,Robert,Thomas III,622,TXWESL,3,G,Sophomore,72,185
60005468,Kaleb,Gilmore,403,HHILO,14,G,Sophomore,72,147
60005490,Nathaniel,Jack,,,0,G,Senior,77,0
60005502,Douglas,Dwight,355,FRMN,20,G,Senior,72,0
60005551,Braden,Walbeck,513,UWS,,,,,
60005619,Andrew,Scott,623,OAKLCT,,,,,
60005632,Shadd,Cole,471,HOWP,,,,,
60005674,David,Fisher,768,MISSCO,,,,,
60005681,Toby,Vanliew,436,KOKO,,,,,
60005763,Andre,Green,463,HNAMES,10,G,Junior,75,190
60005989,Jacob,Brummet,460,LIFE,30,G,Sophomore,78,185
60005998,Michael,Sullivan,497,MILLSA,,,,,
60006011,Elijah,Pruitt,471,HOWP,,,,,
60006012,Thomas,Bingham,471,HOWP,,,,,
60006033,Gibson,Berryhill,422,CIDAH,,,,,
60006045,Marques,Hinton,401,MGS,,,,,
60006086,Arvel,Atwater,361,ALLEN,,,,,
60006087,D.J.,Marshall,361,ALLEN,,,,,
60006088,Sherod,Wade,361,ALLEN,,,,,
60006089,Seth,Fitzgerald,361,ALLEN,,,,,
60006090,Emaray,Johnson,361,ALLEN,,,,,
60006091,Ivory,Drummond,361,ALLEN,,,,,
60006092,Loce,Hill,361,ALLEN,,,,,
60006093,Shomari,Johnson,361,ALLEN,,,,,
60006094,Derrick,McCord,361,ALLEN,,,,,
60006095,William,McDuffie,361,ALLEN,,,,,
60006096,See,Man,361,ALLEN,,,,,
60006097,Javonte,Willis,361,ALLEN,,,,,
60006109,Dylan,Painter,,,42,F,Senior,82,0
60006129,Mitch,Lightfoot,,,44,F,Senior,80,0
60006165,Tommy,Kuhse,,,12,G,Senior,74,0
60006167,Elijah,Thomas,,,10,F,Senior,77,0
60006176,Jakolby,Long,,,2,F,Senior,77,215
60006182,Michael,Tertsea,,,21,F,Senior,82,0
60006183,Davion,Mintz,,,10,G,Senior,75,0
60006189,Andrew,Jones,,,1,G,Senior,76,0
60006190,Jacob,Young,,,42,G,Senior,75,0
60006191,Nysier,Brooks,,,3,C,Senior,84,0
60006195,Charlie,Moore,,,3,G,Senior,71,0
60006202,Joshua,Tomaic,,,23,F,Senior,81,0
60006211,Dontay,Bassett,,,21,C,Senior,81,250
60006213,Eric,Hester,,,13,G,Senior,75,0
60006216,Rodney,Miller Jr.,,,14,C,Senior,84,0
60006218,C.J.,Keyser,,,25,G,Senior,75,0
60006222,Joey,Brunk,,,50,C,Senior,83,0
60006223,Darius,Hicks,,,1,F,Senior,80,0
60006230,Khadim,Sy,,,20,F,Senior,82,0
60006231,Nikola,Djogo,,,13,G,Senior,80,0
60006237,Kameron,McGusty,,,23,G,Senior,77,0
60006239,Jordan,Shepherd,,,31,G,Senior,76,0
60006246,Vance,Jackson,,,13,F,Senior,81,0
60006251,Ray,Salnave,,,4,G,Senior,75,0
60006253,Scott,Spencer,,,22,G,Senior,78,0
60006255,Eron,Gordon,,,10,G,Senior,75,0
60006260,Alexander,Strating,457,MOSCT,10,F,Senior,79,228
60006261,Dallas,Walton,,,13,F-C,Senior,84,0
60006262,Abdul,Ado,,,0,F,Senior,83,0
60006268,Miles,Washington,431,TXPB,20,C,Freshman,79,202
60006273,Jason,Carter,,,30,F,Senior,80,227
60006290,Seventh,Woods,,,23,G,Senior,74,184
60006291,Micah,Bradford,,,13,G,Senior,73,0
60006294,Shandon,Goldman,,,33,F,Senior,82,0
60006295,Andre,Jones,,,1,G,Senior,77,191
60006297,Rodney,Chatman,,,3,G,Senior,73,0
60006298,Makale,Foreman,,,10,G,Senior,73,0
60006299,David,Jean-Baptiste,,,3,G,Senior,73,0
60006309,Drew,Buggs,,,11,G,Senior,75,0
60006321,Jair,Bolden,,,52,G,Senior,75,0
60006322,Kevin,Marfo,,,0,F,Senior,81,0
60006324,Collin,Smith,,,35,F,Senior,83,0
60006331,Nick,Robinson,,,25,G,Senior,78,0
60006352,Colby,Leifson,,,13,G,Sophomore,76,0
60006354,Michael,Almonacy,,,5,G,Senior,72,0
60006355,Andrew,Garcia,,,4,G,Senior,78,225
60006362,Tavian,Dunn-Martin,,,5,G,Senior,68,0
60006364,Jake,Killingsworth,,,20,G,Senior,77,0
60006367,Patrick,Tape,,,11,F,Senior,82,240
60006371,Xavier,Green,,,11,G,Senior,78,0
60006374,Jaylen,Fornes,,,1,G,Senior,75,0
60006378,York,Benjamin,,,34,F,Sophomore,80,215
60006380,Perry,Francois,,,10,F,Senior,80,0
60006389,Silas,Adheke,,,0,C,Senior,80,0
60006391,John,Hall,,,23,F,Senior,79,0
60006397,Lazaro,Rojas,,,12,F,Senior,83,0
60006398,Bryson,Williams,,,11,F,Senior,80,0
60006405,Jordan,Coblin,,,15,G,Sophomore,73,175
60006409,Erkam,Kiris,613,DAVELK,13,F,Sophomore,80,209
60006410,Justin,Davis,,,10,G-F,Senior,76,0
60006411,Greg,Lee,,,5,F,Senior,81,0
60006412,Taze,Moore,,,4,G,Senior,77,0
60006427,Trevor,Anderson,,,21,G,Senior,75,0
60006440,Ben,Shungu,,,24,G,Senior,74,0
60006449,Johnny,McCants,,,35,F,Senior,79,229
60006451,Aaron,Cook,,,10,G,Senior,74,0
60006460,Josh,Ayeni,,,21,F,Senior,79,0
60006461,Tareq,Coburn,,,10,G,Senior,77,0
60006463,Jordan,Bohannon,,,3,G,Senior,73,0
60006479,Everett,Winchester,,,2,G,Senior,78,0
60006480,Tyson,Jolly,,,25,G,Senior,76,0
60006483,Sammy,Friday,,,20,F,Senior,81,0
60006486,Ahsante,Shivers,,,1,G,Senior,76,205
60006492,Alphonso,Anderson,,,10,G-F,Senior,78,0
60006508,Shaheed,Medlock,,,55,G,Senior,77,0
60006516,Justin,Thomas,,,3,G,Senior,72,0
60006518,Harrison,Henderson,,,3,F,Senior,83,240
60006528,Nick,Hopkins,,,0,G,Senior,72,0
60006548,Chris,Lester,,,23,F,Senior,79,0
60006549,Kijana,Love,,,21,G,Senior,73,0
60006565,Brock,Bertram,,,41,C,Senior,83,244
60006573,Seth,Dittmer,503,CDRVL,23,F,Sophomore,81,210
60006574,August,Haas,406,STEDWA,13,G,Sophomore,73,187
60006575,Bryce,Nze,,,10,F,Senior,79,0
60006590,Chris,Barnes,,,1,G,Senior,76,0
60006592,Tim,Cameron,,,4,G,Sophomore,76,190
60006602,Keon,Clergeot,,,4,G,Senior,73,190
60006609,Clevon,Brown,,,15,F,Senior,80,0
60006610,Payton,Willis,,,0,G,Senior,76,0
60006635,Bitumba,Baruti,,,20,F,Senior,79,0
60006639,James,Butler,,,51,F,Senior,80,0
60006642,Kyran,McClure,505,STLEO,30,G,Freshman,73,160
60006653,Ty,Groce,,,4,F,Senior,80,0
60006657,Jaylan,Ballou,471,HOWP,4,G,Senior,72,190
60006659,Ben,Coupet Jr.,,,25,G,Senior,79,0
60006668,Justin,Van Pelt,827,CBAPM,35,C,Senior,83,
60006675,Nolan,Taylor,,,31,F,Senior,79,0
60006677,Jacob,Davison,,,10,G,Senior,76,0
60006691,Brevin,Galloway,27,CLMSN,11,G,Senior,74,215
60006692,Chevez,Goodwin,,,1,F,Senior,81,0
60006694,Osinachi,Smart,,,33,F-C,Senior,80,0
60006696,Phil,Bledsoe,452,GLEN,32,G-F,Sophomore,78,229
60006697,Jannson,Williams,,,3,F,Senior,81,0
60006699,James,Love III,1018,VST,25,C,Graduate Student,83,
60006703,Ellis,Jefferson,,,3,G,Senior,72,195
60006708,Justin,Roberts,,,0,G,Senior,70,0
60006711,Nate,Johnson,,,10,G,Senior,76,0
60006718,Kellon,Taylor,,,12,F,Senior,78,0
60006720,Chuba,Ohams,,,1,F,Senior,81,0
60006728,Jalen,Dupree,,,24,F,Senior,80,235
60006739,Aher,Uguak,,,30,F,Senior,79,0
60006745,Trevin,Dorius,220,UTAHST,32,C,Senior,85,240
