StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,InjuryStatus,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,Games,FantasyPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings
817372,59,60016045,1,2022,Zach Freemantle,XAV,F,Early Dec,36779,175,NIAGRA,11/9/2021 12:00:00 AM,11/9/2021 7:30:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
817371,59,60008516,1,2022,Jack Nunge,XAV,F,Ques Tues,36779,175,NIAGRA,11/9/2021 12:00:00 AM,11/9/2021 7:30:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
817383,51,60012951,1,2022,R.J. Gunn,DUQ,F,Ques Tues,36781,173,RIDER,11/9/2021 12:00:00 AM,11/9/2021 7:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
817369,45,60020282,1,2022,Jamir Watkins,VCU,F,Out for season,36783,169,STPETE,11/9/2021 12:00:00 AM,11/9/2021 6:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
817368,45,60020279,1,2022,Adrian Baldwin Jr,VCU,G,Out for season,36783,169,STPETE,11/9/2021 12:00:00 AM,11/9/2021 6:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
817367,45,60015780,1,2022,Jarren McAllister,VCU,G,Out for season,36783,169,STPETE,11/9/2021 12:00:00 AM,11/9/2021 6:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
818727,280,60023371,1,2022,Kaleb Brown,MISSR,G,Out Tues,36784,185,CMICH,11/9/2021 12:00:00 AM,11/9/2021 8:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
819016,280,60023369,1,2022,Trevon Brazile,MISSR,F,Out Tues,36784,185,CMICH,11/9/2021 12:00:00 AM,11/9/2021 8:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
818726,280,60015713,1,2022,Dajuan Gordon,MISSR,G,Out Tues,36784,185,CMICH,11/9/2021 12:00:00 AM,11/9/2021 8:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
817474,93,60023636,1,2022,Tamar Bates,IND,G,Ques Wed,36786,187,EMICH,11/9/2021 12:00:00 AM,11/9/2021 6:00:00 PM,HOME,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
