StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Games,FantasyPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings
821975,274,60020495,1,2022,Matthew Murrell,MISS,G,31,578.90,916,123,288,42.7,64,135,47.4,59,153,38.6,69,92,75.0,14,78,92,53,24,4,41,52,374,578.90,633.50
821976,619,60024932,1,2022,J. Butler,FERRUM,G,1,-0.50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-0.50,0.50
821977,303,60021274,1,2022,Lincoln Smith,LAMAR,F,28,503.70,690,103,233,44.2,102,228,44.7,1,5,20.0,21,35,60.0,45,131,176,31,19,9,38,67,228,503.70,535.00
821978,316,60023953,1,2022,Frankie Fidler,NEOM,F,29,576.90,832,133,275,48.4,97,191,50.8,36,84,42.9,70,85,82.4,20,87,107,51,22,8,60,51,372,576.90,630.25
821979,46,60020781,1,2022,Jordan Hall,STJOE,G-F,30,904.00,1056,157,400,39.2,89,212,42.0,68,188,36.2,42,57,73.7,29,171,200,174,37,5,105,75,424,904.00,1012.50
821980,315,60008470,1,2022,Cameron Benford,IPFW,F,30,85.90,172,9,17,52.9,9,15,60.0,0,2,0,3,4,75.0,19,13,32,9,5,8,13,42,21,85.90,94.00
821981,314,60008556,1,2022,Alex Arians,SDKST,G,34,555.40,895,91,190,47.9,56,120,46.7,35,70,50.0,53,60,88.3,5,127,132,70,25,7,42,60,270,555.40,600.50
821982,67,60020295,1,2022,Posh Alexander,STJOHN,G,30,867.10,926,153,307,49.8,140,247,56.7,13,60,21.7,80,108,74.1,76,52,128,159,67,6,70,48,399,867.10,919.50
821983,143,60023853,1,2022,Rashad Bolden,SOUMIS,G,33,358.90,880,85,238,35.7,63,161,39.1,22,77,28.6,34,42,81.0,5,47,52,59,15,1,50,49,226,358.90,397.50
821984,348,60024139,1,2022,Justin Harmon,UTAHV,G,21,382.00,529,75,183,41.0,64,146,43.8,11,37,29.7,68,87,78.2,13,67,80,30,17,12,46,46,229,382.00,414.50
821985,64,60024239,1,2022,Simas Lukosius,BUTL,G-F,32,379.90,693,66,175,37.7,36,70,51.4,30,105,28.6,57,64,89.1,15,92,107,39,10,2,50,46,219,379.90,425.25
821986,932,60022267,1,2022,Spencer Heimerdinger,FPS,,1,5.40,15,1,2,50.0,1,1,100,0,1,0,0,0,0,0,2,2,0,0,1,1,1,2,5.40,6.00
821987,195,60024039,1,2022,Bryce Harris,HOWRD,G,27,247.50,279,49,108,45.4,42,85,49.4,7,23,30.4,16,30,53.3,39,36,75,17,16,5,31,30,121,247.50,270.25
821988,120,60011035,1,2022,Callum McRae,UCRVS,C,28,668.20,850,131,244,53.7,131,241,54.4,0,3,0,41,66,62.1,49,172,221,68,13,17,62,51,303,668.20,722.25
821989,134,60023246,1,2022,Elijah Tate,UAB,G,8,38.10,26,7,15,46.7,2,4,50.0,5,11,45.5,1,1,100,6,2,8,3,1,1,0,4,20,38.10,41.00
821990,233,60015758,1,2022,Ben Sheppard,BELM,G,32,801.60,997,187,372,50.3,116,184,63.0,71,188,37.8,80,112,71.4,27,96,123,52,41,6,43,60,525,801.60,864.75
