StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,ConferenceWins,ConferenceLosses,Games,FantasyPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings
895395,1203,1,2022,Ohio Christian Trailblazers,,0,1,0,0,1,79.50,231,20,79,25.3,16,45,35.6,4,34,11.8,5,7,71.4,14,11,25,11,6,2,32,16,40,79.50,98.75
858242,1005,1,2022,Academy of Art Urban Knights,AAUK,1,1,0,0,2,339.40,462,69,147,46.9,51,114,44.7,18,33,54.5,33,41,80.5,22,45,67,26,26,4,29,46,157,339.40,365.25
826182,296,1,2022,Abilene Christian Wildcats,ABCHR,23,10,11,7,33,4985.40,6695,869,1992,43.6,647,1281,50.5,222,711,31.2,559,746,74.9,352,710,1062,492,363,61,394,733,2519,4985.40,5264.00
974835,296,3,2022,Abilene Christian Wildcats,ABCHR,25,11,11,7,3,453.00,600,77,166,46.4,52,104,50.0,25,62,40.3,63,79,79.7,27,68,95,46,28,6,40,68,242,453.00,480.25
834765,1064,1,2022,Arizona Christian Firestorm,ACU,0,1,0,0,1,136.90,243,32,62,51.6,21,35,60.0,11,27,40.7,20,20,100,8,19,27,15,6,1,27,35,67,136.90,158.50
891735,1123,1,2022,American International Yellow Jackets,AINTL,0,1,0,0,1,156.10,237,25,79,31.6,16,50,32.0,9,29,31.0,5,8,62.5,14,24,38,15,14,5,14,18,55,156.10,169.75
829429,221,1,2022,Air Force Falcons,AIRF,11,18,4,13,29,3331.00,5791,627,1437,43.6,419,812,51.6,208,625,33.3,250,385,64.9,172,598,770,362,158,87,338,524,1712,3331.00,3561.50
826304,177,1,2022,Akron Zips,AKRON,24,9,14,6,33,4572.30,6625,807,1747,46.2,545,1015,53.7,262,732,35.8,476,693,68.7,326,828,1154,393,195,108,360,521,2349,4572.30,4857.75
972963,177,3,2022,Akron Zips,AKRON,24,10,14,6,1,105.80,200,21,53,39.6,17,36,47.2,4,17,23.5,7,8,87.5,8,26,34,4,6,2,10,15,53,105.80,116.00
973731,275,3,2022,Alabama Crimson Tide,ALA,19,14,9,9,1,133.60,200,26,64,40.6,18,40,45.0,8,24,33.3,4,7,57.1,10,18,28,16,9,4,14,14,64,133.60,146.00
826062,275,1,2022,Alabama Crimson Tide,ALA,19,13,9,9,32,5091.60,6420,885,2008,44.1,588,1045,56.3,297,963,30.8,492,674,73.0,432,846,1278,468,224,151,453,596,2559,5091.60,5401.50
826275,309,1,2022,Alabama A&M Bulldogs,ALAAM,12,18,10,8,30,3846.10,6114,657,1742,37.7,540,1304,41.4,117,438,26.7,414,581,71.3,333,800,1133,285,210,96,398,484,1843,3846.10,4012.50
826192,311,1,2022,Alabama State Hornets,ALAST,10,21,8,10,31,4348.60,6406,794,1850,42.9,595,1257,47.3,199,593,33.6,471,676,69.7,327,741,1068,378,237,112,456,568,2160,4348.60,4628.50
826214,13,1,2022,Albany Great Danes,ALBNY,13,18,9,9,31,3752.40,6222,714,1741,41.0,532,1178,45.2,182,563,32.3,307,436,70.4,281,711,992,292,209,76,363,558,1917,3752.40,3944.25
875340,849,1,2022,Alice Lloyd College Eagles,ALCE,0,3,0,0,3,293.90,600,58,159,36.5,48,121,39.7,10,38,26.3,28,42,66.7,24,68,92,31,19,7,69,40,154,293.90,325.75
971480,307,3,2022,Alcorn State Braves,ALCST,17,17,14,4,1,132.60,200,26,67,38.8,21,54,38.9,5,13,38.5,5,9,55.6,19,19,38,16,6,2,15,20,62,132.60,137.25
826097,307,1,2022,Alcorn State Braves,ALCST,17,16,14,4,33,4389.40,6644,797,1926,41.4,617,1359,45.4,180,567,31.7,443,638,69.4,385,802,1187,338,249,90,437,590,2200,4389.40,4613.50
877030,361,1,2022,Allen Allen,ALLEN,0,1,0,0,1,84.00,179,18,56,32.1,11,35,31.4,7,21,33.3,2,2,100,5,15,20,8,3,5,13,11,51,84.00,91.75
826202,265,1,2022,American University Eagles,AMERCN,10,22,5,13,32,4016.80,6453,781,1737,45.0,620,1250,49.6,161,487,33.1,308,444,69.4,256,728,984,390,209,98,394,477,2031,4016.80,4239.00
832379,655,1,2022,Antelope Valley Pioneers,Ante,0,1,0,0,1,95.10,223,18,62,29.0,15,38,39.5,3,24,12.5,11,16,68.8,11,17,28,5,12,2,24,25,48,95.10,108.75
826236,331,1,2022,Appalachian State Mountaineers,APPLST,19,14,12,6,33,4429.50,6615,799,1916,41.7,527,1098,48.0,272,818,33.3,337,511,65.9,330,835,1165,413,185,77,319,427,2207,4429.50,4653.25
971492,331,3,2022,Appalachian State Mountaineers,APPLST,19,15,12,6,1,147.80,199,23,50,46.0,12,22,54.5,11,28,39.3,17,26,65.4,5,29,34,14,6,8,16,10,74,147.80,163.25
878950,715,1,2022,Aquinas College Saints,AQUN,0,1,0,0,1,104.90,198,19,51,37.3,16,35,45.7,3,16,18.8,15,19,78.9,8,24,32,13,3,0,15,20,56,104.90,115.75
901129,772,1,2022,Arlington Baptist Patriots,ARBAP,0,1,0,0,1,80.70,200,17,61,27.9,11,39,28.2,6,22,27.3,4,5,80.0,4,12,16,11,7,3,19,13,44,80.70,87.75
972948,276,3,2022,Arkansas Razorbacks,ARK,28,9,13,5,4,556.50,801,93,241,38.6,70,159,44.0,23,82,28.0,62,75,82.7,29,111,140,47,26,15,35,68,271,556.50,586.00
826107,276,1,2022,Arkansas Razorbacks,ARK,25,8,13,5,33,5133.80,6646,879,2000,44.0,669,1315,50.9,210,685,30.7,571,758,75.3,371,888,1259,466,255,138,401,556,2539,5133.80,5406.50
835886,1150,1,2022,Arkansas Baptist Buffaloes,ARKBA,0,3,0,0,3,376.60,589,70,178,39.3,39,96,40.6,31,82,37.8,23,32,71.9,22,76,98,34,22,7,44,55,194,376.60,399.00
826058,327,1,2022,Arkansas State Red Wolves,ARKST,18,11,8,7,29,4245.80,5818,745,1653,45.1,588,1148,51.2,157,505,31.1,408,548,74.5,295,749,1044,452,228,96,388,482,2055,4245.80,4535.75
826344,323,1,2022,Little Rock Trojans,ARLR,9,19,3,11,28,3619.20,5694,651,1544,42.2,454,959,47.3,197,585,33.7,369,502,73.5,240,641,881,364,194,60,360,469,1868,3619.20,3851.00
826280,263,1,2022,Army Black Knights,ARMY,15,16,9,9,31,4357.70,6250,804,1837,43.8,595,1189,50.0,209,648,32.3,366,581,63.0,347,804,1151,387,242,58,387,460,2183,4357.70,4584.75
826153,310,1,2022,UAPB Golden Lions,ARPB,7,24,5,13,31,3911.90,6512,718,1752,41.0,506,1045,48.4,212,707,30.0,430,609,70.6,276,641,917,359,226,78,413,596,2055,3911.90,4213.00
826183,247,1,2022,Arizona Wildcats,ARZ,31,3,18,2,34,5982.70,6813,1035,2087,49.6,771,1341,57.5,264,746,35.4,541,733,73.8,389,1017,1406,677,228,195,441,560,2875,5982.70,6326.75
973740,247,3,2022,Arizona Wildcats,ARZ,33,4,18,2,3,480.50,625,82,182,45.1,59,113,52.2,23,69,33.3,45,60,75.0,40,85,125,49,21,16,49,59,232,480.50,514.50
826075,255,1,2022,Arizona State Sun Devils,ARZST,14,17,10,10,31,4292.40,6293,776,1874,41.4,561,1176,47.7,215,698,30.8,263,398,66.1,292,810,1102,414,207,132,359,562,2027,4292.40,4498.00
871310,867,1,2022,Asbury Eagles,ASH,0,1,0,0,1,112.00,200,20,62,32.3,11,35,31.4,9,27,33.3,6,10,60.0,8,22,30,10,5,3,10,11,55,112.00,116.75
881482,1204,1,2022,Ashland Eagles,ASHL,0,1,0,0,1,135.60,34,26,62,41.9,18,41,43.9,8,21,38.1,10,14,71.4,4,24,28,20,7,5,22,15,57,135.60,154.50
973737,279,3,2022,Auburn Tigers,AUBRN,28,6,15,3,2,327.40,400,49,132,37.1,35,82,42.7,14,50,28.0,29,41,70.7,36,61,97,34,3,18,23,36,141,327.40,345.25
826159,279,1,2022,Auburn Tigers,AUBRN,27,5,15,3,32,5441.60,6468,894,2034,44.0,634,1222,51.9,260,812,32.0,471,643,73.3,400,878,1278,466,281,251,374,593,2519,5441.60,5695.25
826220,242,1,2022,Austin Peay Governors,AUSP,12,17,8,10,29,3714.40,5859,669,1639,40.8,440,913,48.2,229,726,31.5,308,436,70.6,308,644,952,392,186,59,381,483,1875,3714.40,3962.50
868142,1120,1,2022,Babson Beavers,BAB,0,1,0,0,1,128.90,200,24,65,36.9,14,35,40.0,10,30,33.3,6,6,100,6,31,37,13,8,0,15,21,64,128.90,139.75
826100,184,1,2022,Ball State Cardinals,BALLST,14,17,9,10,31,4429.60,6447,808,1851,43.7,529,1070,49.4,279,781,35.7,469,674,69.6,302,806,1108,420,192,74,426,566,2304,4429.60,4764.00
900030,1209,1,2022,Baptist Bible College (MO) Patriots,BAPMO,0,1,0,0,1,98.40,200,20,49,40.8,13,32,40.6,7,17,41.2,10,17,58.8,1,26,27,12,4,2,21,19,57,98.40,113.75
834764,1118,1,2022,Barclay College Bears,BARC,0,1,0,0,1,74.20,200,15,60,25.0,9,34,26.5,6,26,23.1,8,14,57.1,8,13,21,8,8,0,23,19,44,74.20,84.75
832373,108,1,2022,Baylor Bears,BAYL,26,6,14,4,32,5033.60,6415,903,1950,46.3,649,1213,53.5,254,737,34.5,388,556,69.8,408,780,1188,508,282,109,384,507,2448,5033.60,5290.75
972960,108,3,2022,Baylor Bears,BAYL,27,7,14,4,2,341.70,425,59,135,43.7,39,71,54.9,20,64,31.2,33,48,68.8,29,47,76,35,16,8,21,41,171,341.70,360.25
826008,192,1,2022,Bethune-Cookman Wildcats,BCOOK,9,21,7,11,30,3826.90,6123,713,1716,41.6,568,1285,44.2,145,431,33.6,339,491,69.0,299,678,977,327,239,75,374,526,1901,3826.90,4019.25
835878,1048,1,2022,Bluefield College Ramblin' Rams,BCRR,0,2,0,0,2,276.20,418,52,163,31.9,33,92,35.9,19,71,26.8,15,23,65.2,31,55,86,14,16,2,22,27,129,276.20,294.75
889788,1028,1,2022,Belhaven Blazers,BEL,0,1,0,0,1,93.50,211,18,51,35.3,9,16,56.2,9,35,25.7,10,22,45.5,6,24,30,13,6,1,31,20,54,93.50,107.50
826077,1025,1,2022,Bellarmine Knights,BELLA,20,13,11,5,33,4423.20,6618,878,1847,47.5,621,1092,56.9,257,755,34.0,301,401,75.1,241,760,1001,478,185,55,289,473,2314,4423.20,4658.50
826152,233,1,2022,Belmont Bruins,BELM,25,7,15,3,32,5146.20,6439,930,1900,48.9,656,1073,61.1,274,827,33.1,378,511,74.0,253,823,1076,580,294,124,363,432,2512,5146.20,5425.00
971488,233,3,2022,Belmont Bruins,BELM,25,8,15,3,1,138.10,200,27,60,45.0,19,36,52.8,8,24,33.3,9,10,90.0,5,23,28,15,5,5,9,20,71,138.10,145.50
837484,458,1,2022,Benedictine Mesa Redhawks,BENE,0,1,0,0,1,91.90,200,18,58,31.0,14,46,30.4,4,12,33.3,8,14,57.1,7,30,37,7,3,1,19,20,48,91.90,92.75
826342,412,1,2022,Bethesda Flames,BETH,1,9,0,0,10,1456.00,2190,272,833,32.7,180,486,37.0,92,347,26.5,86,137,62.8,110,235,345,128,125,27,176,236,640,1456.00,1610.25
